Month,Value_Index,Slope,Intercept,Peak_Correlation,Peak_Shift_index,Peak_Shift_Hours
2407,irr_256,157.90315674481104,-0.026897432362652053,0.750265873224169,-2,-7.015365121851851
2408,irr_256,396.4081493082759,-0.06877728280196474,0.7619215522052319,-6,-18.89197855685185
2409,irr_256,325.64994480871167,-0.06037968695980272,0.7737711825263079,-9,-28.338128653611108
2407,irr_284,145.67807469074688,-0.02505163940827247,0.8097971098572369,-4,-14.030730243703703
2408,irr_284,265.0720283853599,-0.04951127995116186,0.7482979394077929,-16,-50.378609484938266
2409,irr_284,206.49501828349736,-0.04317288600789658,0.7727439533696692,-9,-28.338128653611108
2407,irr_304,72.09644170204858,-0.0419781933942498,0.786120155996425,-17,-59.63060353574074
2408,irr_304,114.46772225436985,-0.06821900706468986,0.6953044064741156,-19,-59.82459876336419
2409,irr_304,95.03711891822628,-0.06087371888033795,0.7099161167904614,-17,-53.527576345709875
2407,irr_1175,630.0161912446607,-0.07062292854430224,0.7411901165744066,-17,-53.67523553966049
2408,irr_1175,918.349077873992,-0.10654677763856749,0.6310930571765866,-2,-6.297326185617283
2409,irr_1175,855.6781543324175,-0.10449221181723876,0.7740540960644815,-17,-53.527576345709875
2407,irr_1216,5.671174499414162,-0.05366772817562542,0.7750571051640737,-17,-59.63060353574074
2408,irr_1216,8.748191057860684,-0.08411185096649397,0.7107809659421765,-13,-40.93262020651234
2409,irr_1216,7.540698987285298,-0.07814710813190673,0.7339469522533222,-25,-78.71702403780864
2407,irr_1335,168.5452142953917,-0.047231931544310525,0.770619490012744,-18,-56.83260233611111
2408,irr_1335,286.60501345426275,-0.08226715939244938,0.6952183341671823,-19,-59.82459876336419
2409,irr_1335,262.29563655506485,-0.08003782719412347,0.7216941978865102,-17,-53.527576345709875
2407,irr_1405,306.41717474825595,-0.053931656334428035,0.7668379012167175,-17,-53.67523553966049
2408,irr_1405,595.8827069065372,-0.1087039809459075,0.7405554531049761,-15,-47.22994639212963
2409,irr_1405,491.8736843604909,-0.09484244487047157,0.7590236619430352,-9,-28.338128653611108
