"datetime","event","dEdt_Jkg_per_day"
"2024-05-01 00:00:00","May",""
"2024-05-01 03:00:00","May","-619.7313024252653"
"2024-05-01 06:00:00","May","237.7646079659462"
"2024-05-01 09:00:00","May","130.2878902554512"
"2024-05-01 12:00:00","May","-1319.4716562181711"
"2024-05-01 15:00:00","May","-1227.360447064042"
"2024-05-01 18:00:00","May","1024.0220844894648"
"2024-05-01 21:00:00","May","206.97146332263944"
"2024-05-02 00:00:00","May","-1674.3257982581854"
"2024-05-02 03:00:00","May","-603.9188044369221"
"2024-05-02 06:00:00","May","957.7888503372669"
"2024-05-02 09:00:00","May","395.27288153767586"
"2024-05-02 12:00:00","May","-1412.405537709594"
"2024-05-02 15:00:00","May","-1186.4541794806719"
"2024-05-02 18:00:00","May","100.15256395936011"
"2024-05-02 21:00:00","May","-210.8764823973179"
"2024-05-03 00:00:00","May","-1806.0893977731466"
"2024-05-03 03:00:00","May","-1156.6189196556807"
"2024-05-03 06:00:00","May","617.7668591588736"
"2024-05-03 09:00:00","May","519.0995282381773"
"2024-05-03 12:00:00","May","-1159.763028562069"
"2024-05-03 15:00:00","May","-992.566814661026"
"2024-05-03 18:00:00","May","-55.25604084134102"
"2024-05-03 21:00:00","May","290.2930048555136"
"2024-05-04 00:00:00","May","-1070.8161855489016"
"2024-05-04 03:00:00","May","-572.2866221815348"
"2024-05-04 06:00:00","May","1369.3180336207151"
"2024-05-04 09:00:00","May","49.91884784400463"
"2024-05-04 12:00:00","May","-2007.4392528384924"
"2024-05-04 15:00:00","May","-1212.8086413741112"
"2024-05-04 18:00:00","May","1035.6659361720085"
"2024-05-04 21:00:00","May","389.1674806326628"
"2024-05-05 00:00:00","May","-930.992444679141"
"2024-05-05 03:00:00","May","-562.7894275784492"
"2024-05-05 06:00:00","May","8.549618512392044"
"2024-05-05 09:00:00","May","-358.6350559294224"
"2024-05-05 12:00:00","May","-1331.5101736783981"
"2024-05-05 15:00:00","May","-379.09839819371706"
"2024-05-05 18:00:00","May","1194.2257351726294"
"2024-05-05 21:00:00","May","162.54672621190548"
"2024-05-06 00:00:00","May","-1363.8411107063293"
"2024-05-06 03:00:00","May","-1560.5203859359026"
"2024-05-06 06:00:00","May","-913.7259083688258"
"2024-05-06 09:00:00","May","175.74113564193246"
"2024-05-06 12:00:00","May","-435.42723897099495"
"2024-05-06 15:00:00","May","-533.5963817238808"
"2024-05-06 18:00:00","May","1044.3789753615856"
"2024-05-06 21:00:00","May","23.237265050411224"
"2024-05-07 00:00:00","May","-1584.8121087104082"
"2024-05-07 03:00:00","May","-1479.8688961118462"
"2024-05-07 06:00:00","May","35.1351473480463"
"2024-05-07 09:00:00","May","224.91899774968624"
"2024-05-07 12:00:00","May","-1199.5990049093962"
"2024-05-07 15:00:00","May","-905.2800734937191"
"2024-05-07 18:00:00","May","795.5095930993556"
"2024-05-07 21:00:00","May","-204.52349178493026"
"2024-05-08 00:00:00","May","-1727.7722904384138"
"2024-05-08 03:00:00","May","-708.1729405969381"
"2024-05-08 06:00:00","May","495.3876407593488"
"2024-05-08 09:00:00","May","220.65149591863158"
"2024-05-08 12:00:00","May","-987.9783133417368"
"2024-05-08 15:00:00","May","-1321.4063658416271"
"2024-05-08 18:00:00","May","562.9139892458916"
"2024-05-08 21:00:00","May","446.1710093617439"
"2024-05-09 00:00:00","May","-1648.4792902320623"
"2024-05-09 03:00:00","May","-958.6025824695826"
"2024-05-09 06:00:00","May","706.511644423008"
"2024-05-09 09:00:00","May","151.03217934072018"
"2024-05-09 12:00:00","May","-1758.6212942153215"
"2024-05-09 15:00:00","May","-1684.7499435693026"
"2024-05-09 18:00:00","May","304.3616068661213"
"2024-05-09 21:00:00","May","970.9282649308443"
"2024-05-10 00:00:00","May","-1055.8663308769464"
"2024-05-10 03:00:00","May","-1405.4831157028673"
"2024-05-10 06:00:00","May","-427.5061272829771"
"2024-05-10 09:00:00","May","71.20791378617287"
"2024-05-10 12:00:00","May","-1113.021495550871"
"2024-05-10 15:00:00","May","-1796.2266113013031"
"2024-05-10 18:00:00","May","-325.155828922987"
"2024-05-10 21:00:00","May","-933.5153543502092"
"2024-05-11 00:00:00","May","-2829.9329152405267"
"2024-05-11 03:00:00","May","-2996.104012683034"
"2024-05-11 06:00:00","May","-1287.1586892604828"
"2024-05-11 09:00:00","May","-1246.594847843051"
"2024-05-11 12:00:00","May","-3222.068561762572"
"2024-05-11 15:00:00","May","-2939.608028247953"
"2024-05-11 18:00:00","May","-21.48603819310665"
"2024-05-11 21:00:00","May","377.7973456531763"
"2024-05-12 00:00:00","May","-1541.847540512681"
"2024-05-12 03:00:00","May","-1607.1118785142899"
"2024-05-12 06:00:00","May","1680.5338505208495"
"2024-05-12 09:00:00","May","665.2358641177416"
"2024-05-12 12:00:00","May","-2319.969297453761"
"2024-05-12 15:00:00","May","-1081.9259182810783"
"2024-05-12 18:00:00","May","204.06241884827614"
"2024-05-12 21:00:00","May","-401.2579641640187"
"2024-05-13 00:00:00","May","-1483.93739323318"
"2024-05-13 03:00:00","May","-1246.7801798731089"
"2024-05-13 06:00:00","May","-88.75684571266174"
"2024-05-13 09:00:00","May","-115.01783968508244"
"2024-05-13 12:00:00","May","-1194.6901396512985"
"2024-05-13 15:00:00","May","-759.2083043009043"
"2024-05-13 18:00:00","May","358.54538537561893"
"2024-05-13 21:00:00","May","-207.53082755208018"
"2024-05-14 00:00:00","May","-1744.9822189062834"
"2024-05-14 03:00:00","May","-17.41631631553173"
"2024-05-14 06:00:00","May","508.6916105151176"
"2024-05-14 09:00:00","May","-843.2928369790317"
"2024-05-14 12:00:00","May","-1297.8729984760284"
"2024-05-14 15:00:00","May","-2421.376811787486"
"2024-05-14 18:00:00","May","287.71066565811634"
"2024-05-14 21:00:00","May","1029.1678098738194"
"2024-05-15 00:00:00","May","-1959.160631120205"
"2024-05-15 03:00:00","May","-781.8334710597993"
"2024-05-15 06:00:00","May","292.95724035799503"
"2024-05-15 09:00:00","May","-301.03500501811504"
"2024-05-15 12:00:00","May","-1338.8692314773798"
"2024-05-15 15:00:00","May","-1252.9985065460205"
"2024-05-15 18:00:00","May","-199.03817412257195"
"2024-05-15 21:00:00","May","-622.8561889976263"
"2024-05-16 00:00:00","May","-1187.9157676547766"
"2024-05-16 03:00:00","May","-1014.0354734063148"
"2024-05-16 06:00:00","May","-83.16559590399265"
"2024-05-16 09:00:00","May","-530.3257058560848"
"2024-05-16 12:00:00","May","-2382.2107457369566"
"2024-05-16 15:00:00","May","-1584.591726049781"
"2024-05-16 18:00:00","May","421.0231812596321"
"2024-05-16 21:00:00","May","68.46913419663906"
"2024-05-17 00:00:00","May","-1707.0410040169957"
"2024-05-17 03:00:00","May","-1392.8719625324009"
"2024-05-17 06:00:00","May","98.09802182018757"
"2024-05-17 09:00:00","May","-343.2128247618675"
"2024-05-17 12:00:00","May","-2042.1832413822412"
"2024-05-17 15:00:00","May","-2450.311736688018"
"2024-05-17 18:00:00","May","424.97900851070887"
"2024-05-17 21:00:00","May","348.8843540251255"
"2024-05-18 00:00:00","May","-1963.9464031606913"
"2024-05-18 03:00:00","May","-1567.1802909076214"
"2024-05-18 06:00:00","May","-421.31392127275467"
