UTC_Time,YEAR,DOY,Hour,Scalar_B_nT,SW_Proton_Density_N_cm3,Kp_index,Dst_index_nT
2024-05-01 00:00:00,2024,122,0,11.5,13.6,37,-27
2024-05-01 01:00:00,2024,122,1,11.4,11.7,37,-33
2024-05-01 02:00:00,2024,122,2,11.1,12.6,37,-28
2024-05-01 03:00:00,2024,122,3,10.7,16.9,20,-15
2024-05-01 04:00:00,2024,122,4,11.7,14.7,20,-14
2024-05-01 05:00:00,2024,122,5,13.1,7.7,20,-14
2024-05-01 06:00:00,2024,122,6,12.8,7.8,17,-17
2024-05-01 07:00:00,2024,122,7,13.3,4.2,17,-14
2024-05-01 08:00:00,2024,122,8,12.9,6.3,17,-11
2024-05-01 09:00:00,2024,122,9,13.1,6.0,3,-9
2024-05-01 10:00:00,2024,122,10,13.3,4.6,3,-11
2024-05-01 11:00:00,2024,122,11,13.2,5.4,3,-11
2024-05-01 12:00:00,2024,122,12,13.3,4.9,10,-12
2024-05-01 13:00:00,2024,122,13,13.3,3.9,10,-13
2024-05-01 14:00:00,2024,122,14,13.2,4.8,10,-14
2024-05-01 15:00:00,2024,122,15,12.9,6.9,10,-9
2024-05-01 16:00:00,2024,122,16,12.6,7.2,10,-4
2024-05-01 17:00:00,2024,122,17,12.1,10.6,10,1
2024-05-01 18:00:00,2024,122,18,12.7,5.2,20,-2
2024-05-01 19:00:00,2024,122,19,12.5,6.9,20,1
2024-05-01 20:00:00,2024,122,20,10.4,15.3,20,5
2024-05-01 21:00:00,2024,122,21,11.6,12.0,10,1
2024-05-01 22:00:00,2024,122,22,11.3,11.0,10,1
2024-05-01 23:00:00,2024,122,23,11.0,10.1,10,-1
2024-05-02 00:00:00,2024,123,0,10.5,10.6,23,-2
2024-05-02 01:00:00,2024,123,1,9.6,11.4,23,-2
2024-05-02 02:00:00,2024,123,2,8.4,14.3,23,5
2024-05-02 03:00:00,2024,123,3,7.6,19.5,17,5
2024-05-02 04:00:00,2024,123,4,5.5,16.7,17,3
2024-05-02 05:00:00,2024,123,5,7.0,13.6,17,2
2024-05-02 06:00:00,2024,123,6,8.5,10.2,23,-4
2024-05-02 07:00:00,2024,123,7,7.8,10.6,23,-4
2024-05-02 08:00:00,2024,123,8,6.2,16.8,23,2
2024-05-02 09:00:00,2024,123,9,9.7,17.9,33,7
2024-05-02 10:00:00,2024,123,10,12.0,15.5,33,5
2024-05-02 11:00:00,2024,123,11,12.1,14.4,33,-4
2024-05-02 12:00:00,2024,123,12,10.3,14.2,50,-9
2024-05-02 13:00:00,2024,123,13,9.2,14.2,50,-19
2024-05-02 14:00:00,2024,123,14,14.7,19.7,50,-21
2024-05-02 15:00:00,2024,123,15,20.9,22.6,67,-54
2024-05-02 16:00:00,2024,123,16,19.1,27.3,67,-78
2024-05-02 17:00:00,2024,123,17,19.3,17.0,67,-75
2024-05-02 18:00:00,2024,123,18,20.8,13.9,67,-85
2024-05-02 19:00:00,2024,123,19,20.6,11.7,67,-93
2024-05-02 20:00:00,2024,123,20,17.8,18.0,67,-96
2024-05-02 21:00:00,2024,123,21,18.6,15.2,40,-77
2024-05-02 22:00:00,2024,123,22,999.9,999.9,40,-56
2024-05-02 23:00:00,2024,123,23,999.9,999.9,40,-63
2024-05-03 00:00:00,2024,124,0,999.9,999.9,40,-63
2024-05-03 01:00:00,2024,124,1,999.9,999.9,40,-60
2024-05-03 02:00:00,2024,124,2,999.9,999.9,40,-54
2024-05-03 03:00:00,2024,124,3,999.9,999.9,30,-62
2024-05-03 04:00:00,2024,124,4,999.9,999.9,30,-61
2024-05-03 05:00:00,2024,124,5,999.9,999.9,30,-60
2024-05-03 06:00:00,2024,124,6,999.9,999.9,10,-59
2024-05-03 07:00:00,2024,124,7,999.9,999.9,10,-54
2024-05-03 08:00:00,2024,124,8,999.9,999.9,10,-47
2024-05-03 09:00:00,2024,124,9,999.9,999.9,13,-44
