UTC_Time,YEAR,DOY,Hour,Scalar_B_nT,SW_Proton_Density_N_cm3,Kp_index,Dst_index_nT,Datetime,UTC,PCN,heat_flux
2024-10-01 00:00:00,2024,275,0,6.7,4.0,13,-4,2024-10-01 00:00:00,,-0.21161290322580645,-6.730345290322581
2024-10-01 01:00:00,2024,275,1,7.0,4.0,13,-3,2024-10-01 01:00:00,,-0.36032786885245904,-9.742319305563022
2024-10-01 02:00:00,2024,275,2,6.7,3.8,13,-4,2024-10-01 02:00:00,,0.039344262295081964,-0.6314427304488041
2024-10-01 03:00:00,2024,275,3,6.9,3.4,20,-4,2024-10-01 03:00:00,,0.21262295081967217,3.8303462964256934
2024-10-01 04:00:00,2024,275,4,6.7,3.4,20,-5,2024-10-01 04:00:00,,0.9018032786885247,23.206563219833384
2024-10-01 05:00:00,2024,275,5,7.2,2.9,20,-5,2024-10-01 05:00:00,,0.9965573770491803,26.178374840365493
2024-10-01 06:00:00,2024,275,6,7.0,2.8,13,1,2024-10-01 06:00:00,,0.20491803278688528,5.655100510615427
2024-10-01 07:00:00,2024,275,7,6.8,2.9,13,6,2024-10-01 07:00:00,,0.023114754098360654,3.091148164740661
2024-10-01 08:00:00,2024,275,8,6.7,2.8,13,6,2024-10-01 08:00:00,,-0.2908196721311475,-4.436097200752485
2024-10-01 09:00:00,2024,275,9,6.7,2.7,7,5,2024-10-01 09:00:00,,-0.16737704918032786,-1.9829833429185704
2024-10-01 10:00:00,2024,275,10,6.4,2.8,7,4,2024-10-01 10:00:00,,-0.5655737704918035,-11.322361865090034
2024-10-01 11:00:00,2024,275,11,6.5,2.8,7,4,2024-10-01 11:00:00,,-0.21311475409836064,-3.485551195915077
2024-10-01 12:00:00,2024,275,12,6.3,2.8,10,3,2024-10-01 12:00:00,,-0.2331147540983607,-4.373418343456062
2024-10-01 13:00:00,2024,275,13,6.1,3.1,10,3,2024-10-01 13:00:00,,0.24327868852459025,7.500525771566784
2024-10-01 14:00:00,2024,275,14,5.7,3.7,10,4,2024-10-01 14:00:00,,0.33934426229508197,10.502955630206932
2024-10-01 15:00:00,2024,275,15,5.5,4.0,20,6,2024-10-01 15:00:00,,1.188032786885246,36.897084753829624
2024-10-01 16:00:00,2024,275,16,5.6,4.0,20,3,2024-10-01 16:00:00,,1.1959016393442623,35.886408095941945
2024-10-01 17:00:00,2024,275,17,5.6,4.1,20,3,2024-10-01 17:00:00,,1.2527868852459014,37.77727525503896
2024-10-01 18:00:00,2024,275,18,5.4,4.2,13,1,2024-10-01 18:00:00,,1.6768852459016395,51.73790324670788
2024-10-01 19:00:00,2024,275,19,5.6,4.3,13,3,2024-10-01 19:00:00,,0.5111475409836066,14.856899162590704
2024-10-01 20:00:00,2024,275,20,5.6,4.2,13,8,2024-10-01 20:00:00,,-0.45590163934426226,-7.262635904058049
2024-10-01 21:00:00,2024,275,21,5.5,4.3,10,9,2024-10-01 21:00:00,,-0.6193442622950821,-10.295945943563563
2024-10-01 22:00:00,2024,275,22,5.1,4.2,10,8,2024-10-01 22:00:00,,-0.08049180327868853,1.3946521690405804
2024-10-01 23:00:00,2024,275,23,5.1,4.3,10,8,2024-10-01 23:00:00,,-0.08196721311475409,1.358746573501747
2024-10-02 00:00:00,2024,276,0,5.2,4.3,20,9,2024-10-02 00:00:00,,-0.2685245901639345,-2.626197445847892
2024-10-02 01:00:00,2024,276,1,5.7,4.4,20,10,2024-10-02 01:00:00,,0.2647540983606557,11.078752546358507
2024-10-02 02:00:00,2024,276,2,5.2,4.2,20,9,2024-10-02 02:00:00,,0.6508196721311474,21.454762536952433
2024-10-02 03:00:00,2024,276,3,5.4,4.0,17,9,2024-10-02 03:00:00,,0.668360655737705,21.970264065842517
2024-10-02 04:00:00,2024,276,4,5.7,5.6,17,15,2024-10-02 04:00:00,,-0.22278688524590168,1.111586353399622
2024-10-02 05:00:00,2024,276,5,5.8,5.9,17,21,2024-10-02 05:00:00,,-0.009016393442622948,9.047359184359044
2024-10-02 06:00:00,2024,276,6,5.2,6.2,17,14,2024-10-02 06:00:00,,0.5191803278688525,19.87555776646063
2024-10-02 07:00:00,2024,276,7,5.3,5.8,17,14,2024-10-02 07:00:00,,0.13426229508196721,9.437258425423273
2024-10-02 08:00:00,2024,276,8,5.3,5.7,17,14,2024-10-02 08:00:00,,-0.10786885245901638,3.388821962913195
2024-10-02 09:00:00,2024,276,9,5.1,5.5,13,11,2024-10-02 09:00:00,,-0.2826229508196721,-2.070608998656275
2024-10-02 10:00:00,2024,276,10,5.1,5.6,13,11,2024-10-02 10:00:00,,-0.3118032786885246,-2.737759026068261
2024-10-02 11:00:00,2024,276,11,5.4,5.7,13,12,2024-10-02 11:00:00,,0.6644262295081967,23.178955003762432
2024-10-02 12:00:00,2024,276,12,5.5,5.6,20,12,2024-10-02 12:00:00,,1.4686885245901637,49.04718417656544
2024-10-02 13:00:00,2024,276,13,5.4,5.3,20,13,2024-10-02 13:00:00,,0.22360655737704913,11.319566846546627
2024-10-02 14:00:00,2024,276,14,5.7,5.5,20,16,2024-10-02 14:00:00,,0.049344262295081966,8.18048154823972
2024-10-02 15:00:00,2024,276,15,5.3,5.7,7,18,2024-10-02 15:00:00,,0.9167213114754099,33.54888229615695
2024-10-02 16:00:00,2024,276,16,5.1,5.6,7,15,2024-10-02 16:00:00,,1.2316393442622953,42.31575324617039
2024-10-02 17:00:00,2024,276,17,5.1,5.5,7,14,2024-10-02 17:00:00,,0.6775409836065572,24.463395766998115
2024-10-02 18:00:00,2024,276,18,5.1,5.8,13,15,2024-10-02 18:00:00,,0.1019672131147541,9.060918770223058
2024-10-02 19:00:00,2024,276,19,5.5,5.7,13,15,2024-10-02 19:00:00,,0.6939344262295084,25.40159627761355
2024-10-02 20:00:00,2024,276,20,6.0,5.9,13,13,2024-10-02 20:00:00,,0.6314754098360655,22.66069861972588
2024-10-02 21:00:00,2024,276,21,6.0,5.8,10,11,2024-10-02 21:00:00,,0.7570491803278688,25.48880510185434
2024-10-02 22:00:00,2024,276,22,6.3,6.4,10,11,2024-10-02 22:00:00,,0.5149180327868852,18.411939215533458
2024-10-02 23:00:00,2024,276,23,5.7,7.6,10,13,2024-10-02 23:00:00,,0.5393442622950819,19.999721203977426
2024-10-03 00:00:00,2024,277,0,5.0,8.4,10,18,2024-10-03 00:00:00,,0.4729508196721311,20.40050315103467
2024-10-03 01:00:00,2024,277,1,5.7,7.6,10,22,2024-10-03 01:00:00,,0.3191803278688525,18.03779579924751
2024-10-03 02:00:00,2024,277,2,5.1,8.6,10,21,2024-10-03 02:00:00,,0.38655737704918036,19.402457840365496
2024-10-03 03:00:00,2024,277,3,6.3,10.1,13,23,2024-10-03 03:00:00,,-0.005901639344262298,10.07672696479441
2024-10-03 04:00:00,2024,277,4,6.8,10.4,13,23,2024-10-03 04:00:00,,-0.037704918032786895,9.289872453641493
2024-10-03 05:00:00,2024,277,5,5.9,10.3,13,21,2024-10-03 05:00:00,,0.4124590163934427,20.117722439129267
2024-10-03 06:00:00,2024,277,6,6.0,9.2,17,22,2024-10-03 06:00:00,,0.1298360655737705,13.035103419510882
2024-10-03 07:00:00,2024,277,7,6.1,8.0,17,23,2024-10-03 07:00:00,,0.3437704918032787,19.182935036011827
2024-10-03 08:00:00,2024,277,8,5.4,8.3,17,23,2024-10-03 08:00:00,,-0.09918032786885247,7.788444914001611
2024-10-03 09:00:00,2024,277,9,5.3,8.7,17,25,2024-10-03 09:00:00,,-0.4263934426229509,1.194543977694165
2024-10-03 10:00:00,2024,277,10,5.5,8.3,17,21,2024-10-03 10:00:00,,0.10409836065573772,11.899460554958345
2024-10-03 11:00:00,2024,277,11,6.0,8.4,17,17,2024-10-03 11:00:00,,0.3190163934426229,15.690858708949206
2024-10-03 12:00:00,2024,277,12,6.3,9.6,30,14,2024-10-03 12:00:00,,0.26278688524590166,12.81024976323569
2024-10-03 13:00:00,2024,277,13,6.1,8.8,30,5,2024-10-03 13:00:00,,1.589672131147541,50.27170536656813
2024-10-03 14:00:00,2024,277,14,6.1,8.2,30,-1,2024-10-03 14:00:00,,0.6822950819672132,18.1612702241333
2024-10-03 15:00:00,2024,277,15,7.4,7.8,13,4,2024-10-03 15:00:00,,0.009836065573770486,1.90914958344531
2024-10-03 16:00:00,2024,277,16,8.1,7.0,13,11,2024-10-03 16:00:00,,0.26262295081967213,11.4633757226552
2024-10-03 17:00:00,2024,277,17,8.4,7.4,13,13,2024-10-03 17:00:00,,0.9496721311475411,32.29624044853534
2024-10-03 18:00:00,2024,277,18,8.4,7.5,23,13,2024-10-03 18:00:00,,0.8934426229508198,30.54328433216877
2024-10-03 19:00:00,2024,277,19,7.9,8.2,23,9,2024-10-03 19:00:00,,1.5788524590163933,51.60950075275463
2024-10-03 20:00:00,2024,277,20,7.6,7.9,23,6,2024-10-03 20:00:00,,0.7373770491803279,22.721416706261756
2024-10-03 21:00:00,2024,277,21,6.6,8.8,20,8,2024-10-03 21:00:00,,1.1647540983606557,36.99291320209621
2024-10-03 22:00:00,2024,277,22,6.9,8.3,20,11,2024-10-03 22:00:00,,0.27475409836065573,11.787549775866701
2024-10-03 23:00:00,2024,277,23,7.3,8.5,20,13,2024-10-03 23:00:00,,0.08836065573770491,7.809420656006449
2024-10-04 00:00:00,2024,278,0,7.0,8.2,17,16,2024-10-04 00:00:00,,0.1268852459016393,10.157074312281644
2024-10-04 01:00:00,2024,278,1,8.1,7.2,17,18,2024-10-04 01:00:00,,0.4014754098360656,18.408355291857028
2024-10-04 02:00:00,2024,278,2,8.3,6.6,17,17,2024-10-04 02:00:00,,1.2313114754098362,43.22083893066381
2024-10-04 03:00:00,2024,278,3,8.3,6.5,17,18,2024-10-04 03:00:00,,0.8773770491803279,32.32890031281913
2024-10-04 04:00:00,2024,278,4,8.0,6.5,17,16,2024-10-04 04:00:00,,0.4578688524590164,19.055241389142704
2024-10-04 05:00:00,2024,278,5,8.1,6.3,17,19,2024-10-04 05:00:00,,0.22360655737704915,14.067566846546624
2024-10-04 06:00:00,2024,278,6,8.0,6.3,13,22,2024-10-04 06:00:00,,0.5963934426229509,25.80311910884171
2024-10-04 07:00:00,2024,278,7,7.8,6.3,13,22,2024-10-04 07:00:00,,-0.19311475409836062,5.066543951625907
2024-10-04 08:00:00,2024,278,8,7.4,6.6,13,21,2024-10-04 08:00:00,,-0.4250819672131148,-0.6926213090567084
2024-10-04 09:00:00,2024,278,9,7.6,6.5,10,21,2024-10-04 09:00:00,,-0.4391803278688525,-1.0019797417360954
2024-10-04 10:00:00,2024,278,10,7.2,6.6,10,20,2024-10-04 10:00:00,,-0.14737704918032787,5.205850427573232
2024-10-04 11:00:00,2024,278,11,7.0,6.2,10,20,2024-10-04 11:00:00,,-0.29032786885245904,1.8611691698468138
2024-10-04 12:00:00,2024,278,12,7.7,6.3,17,20,2024-10-04 12:00:00,,-0.1944262295081967,4.089634462778823
2024-10-04 13:00:00,2024,278,13,7.7,5.1,17,19,2024-10-04 13:00:00,,0.5401639344262295,22.7711401572158
2024-10-04 14:00:00,2024,278,14,7.7,4.7,17,18,2024-10-04 14:00:00,,0.9573770491803278,34.82062123085192
2024-10-04 15:00:00,2024,278,15,7.6,4.5,23,12,2024-10-04 15:00:00,,2.516885245901639,89.38263944342916
2024-10-04 16:00:00,2024,278,16,8.0,4.8,23,15,2024-10-04 16:00:00,,1.7388524590163934,60.078040556033315
