satellite,event,quantity,value
NinjaSat,May,mean_altitude_km,503.4570646020239
NinjaSat,May,cadence_h,3.1669444444444443
NinjaSat,May,quiet_mean_dot_km_per_h,-0.002385663671393004
NinjaSat,May,quiet_sd_dot_km_per_h,0.002121717008987992
NinjaSat,May,storm_peak_dot_km_per_h,0.012172826587066584
NinjaSat,May,storm_excess_km_per_h,0.014558490258459587
NinjaSat,May,significance_sigma,6.861655063699393
NinjaSat,May,upper_limit_2sigma_km_per_h,0.004243434017975984
NinjaSat,Oct,mean_altitude_km,474.28029372764627
NinjaSat,Oct,cadence_h,3.120833333333333
NinjaSat,Oct,quiet_mean_dot_km_per_h,0.005372522247303893
NinjaSat,Oct,quiet_sd_dot_km_per_h,0.0031873648366043655
NinjaSat,Oct,storm_peak_dot_km_per_h,0.01593502241941302
NinjaSat,Oct,storm_excess_km_per_h,0.010562500172109125
NinjaSat,Oct,significance_sigma,3.3138660660389925
NinjaSat,Oct,upper_limit_2sigma_km_per_h,0.006374729673208731
XRISM,May,mean_altitude_km,569.3813590215975
XRISM,May,cadence_h,5.0
XRISM,May,quiet_mean_dot_km_per_h,0.0005025917321413142
XRISM,May,quiet_sd_dot_km_per_h,0.0006077205411567589
XRISM,May,storm_peak_dot_km_per_h,0.004299571918645343
XRISM,May,storm_excess_km_per_h,0.003796980186504029
XRISM,May,significance_sigma,6.247904965128724
XRISM,May,upper_limit_2sigma_km_per_h,0.0012154410823135178
XRISM,Oct,mean_altitude_km,560.7805887582459
XRISM,Oct,cadence_h,5.0
XRISM,Oct,quiet_mean_dot_km_per_h,0.0010108389354369564
XRISM,Oct,quiet_sd_dot_km_per_h,0.0003068552914607997
XRISM,Oct,storm_peak_dot_km_per_h,0.0007172004357711509
XRISM,Oct,storm_excess_km_per_h,-0.0002936384996658055
XRISM,Oct,significance_sigma,-0.9569282584892866
XRISM,Oct,upper_limit_2sigma_km_per_h,0.0006137105829215994
SwarmA,both,drho_ratio_oct_over_may,0.5828200894154161
SwarmB,both,drho_ratio_oct_over_may,0.5514102615767228
GRACEFO,both,drho_ratio_oct_over_may,0.5806986312399229
Swarm+GRACEFO,both,mean_drho_ratio_oct_over_may,0.571642994077354
NinjaSat,Oct,predicted_excess_km_per_h_H50,0.014916517338190815
NinjaSat,Oct,obs_over_pred_H50,0.7081076589550777
NinjaSat,Oct,predicted_excess_km_per_h_H60,0.01353411103921758
NinjaSat,Oct,obs_over_pred_H60,0.7804354598172228
NinjaSat,Oct,predicted_excess_km_per_h_H70,0.012625830310392482
NinjaSat,Oct,obs_over_pred_H70,0.8365786575964826
XRISM,Oct,predicted_excess_km_per_h_H50,0.0025779147858857997
XRISM,Oct,obs_over_pred_H50,-0.11390543290006698
XRISM,Oct,predicted_excess_km_per_h_H60,0.002505057317241913
XRISM,Oct,obs_over_pred_H60,-0.11721827586328591
XRISM,Oct,predicted_excess_km_per_h_H70,0.0024542803724704604
XRISM,Oct,obs_over_pred_H70,-0.11964342092270053
